dataset_name,sample,factor,penalty,correct,test_size,accuracy
NonInvasiveFetalECGThorax1,106.5092881650,0.0060466176,0.6440209364,1634,1965,0.8315521628
NonInvasiveFetalECGThorax2,134.9900752510,0.0014348907,0.1936960036,1750,1965,0.8905852417
OliveOil,0.1308113317,0.0576211917,0.0075375048,26,30,0.8666666667
OSULeaf,768.1502674150,0.0007962624,0.6116491755,168,242,0.6942148760
PhalangesOutlinesCorrect,6.4548423364,0.1409000313,0.9094874869,652,858,0.7599067599
Phoneme,2029.2167676500,0.0002476099,0.5024541609,480,1896,0.2531645570
PigAirwayPressure,49912.9839791000,0.0001048576,5.2337557089,39,208,0.1875000000
PigArtPressure,769220.4805700000,0.0000537824,41.3705235742,127,208,0.6105769231
PigCVP,25082.5302648000,0.0000161051,0.4039566582,91,208,0.4375000000
Plane,91.5746309384,0.0000759375,0.0069539485,105,105,1.0000000000
PowerCons,276.1200589500,0.0205962976,5.6870509075,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8091610005,0.0255910128,0.0718892751,162,205,0.7902439024
ProximalPhalanxOutlineCorrect,2.8143800674,0.0090224199,0.0253925187,233,291,0.8006872852
ProximalPhalanxTW,2.7778980559,0.0009765625,0.0027127911,153,205,0.7463414634
RefrigerationDevices,1435.2555004200,0.0011881376,1.7052810257,160,375,0.4266666667
Rock,2705798.8904200001,0.0000000138,0.0372047347,27,50,0.5400000000
ScreenType,1323.6049918600,0.0000100000,0.0132360499,152,375,0.4053333333
SemgHandGenderCh2,1255849.2463100001,0.0000130525,16.3920350799,565,600,0.9416666667
SemgHandMovementCh2,1220949.6006499999,0.0000161051,19.6635154134,367,450,0.8155555556
SemgHandSubjectCh2,1216821.0089100001,0.0000759375,92.4023453639,407,450,0.9044444444
ShapeletSim,965.7806801570,0.0017210368,1.6621440913,152,180,0.8444444444
ShapesAll,887.4442633570,0.0001654712,0.1468465116,501,600,0.8350000000
SmallKitchenAppliances,1425.8870413100,0.0001419857,0.2024555697,249,375,0.6640000000
SmoothSubspace,1.9316766635,0.0380204032,0.0734431256,143,150,0.9533333333
SonyAIBORobotSurface1,36.3686772419,0.1453933568,5.2877640666,437,601,0.7271214642
SonyAIBORobotSurface2,79.3120438196,0.4182119424,33.1692439015,819,953,0.8593913956
StarLightCurves,877.9920638530,0.0000001024,0.0000899064,7459,8236,0.9056580865
Strawberry,15.6581029036,0.1639638050,2.5673621304,350,370,0.9459459459
SwedishLeaf,74.0893633102,0.0017210368,0.1275105207,554,625,0.8864000000
Symbols,506.4267541090,0.0000903976,0.0457797378,965,995,0.9698492462
SyntheticControl,116.8680840610,0.0011881376,0.1388553649,298,300,0.9933333333
ToeSegmentation1,532.3123571370,0.0005794988,0.3084743456,186,228,0.8157894737
ToeSegmentation2,668.3205496750,0.0024300000,1.6240189357,120,130,0.9230769231
Trace,417.8346147070,0.0000045909,0.0019182160,100,100,1.0000000000
TwoLeadECG,22.9212301210,0.0003642051,0.0083480278,1042,1139,0.9148375768
TwoPatterns,254.1904468890,0.0003642051,0.0925774444,4000,4000,1.0000000000
UMD,107.2951860100,0.0003642051,0.0390774486,142,144,0.9861111111
UWaveGestureLibraryAll,1846.8557432100,0.0002476099,0.4572997659,3444,3582,0.9614740369
UWaveGestureLibraryX,621.9760363710,0.0003200000,0.1990323316,2804,3582,0.7828029034
UWaveGestureLibraryY,635.1243945950,0.0006436343,0.4087878451,2538,3582,0.7085427136
UWaveGestureLibraryZ,603.4741347700,0.0001889568,0.1140305414,2502,3582,0.6984924623
Wafer,260.3026334820,0.0079235168,2.0625122895,6148,6164,0.9974042829
Wine,0.2895993118,0.0297487625,0.0086152211,33,54,0.6111111111
WordSynonyms,490.4727871700,0.0009765625,0.4789773312,499,638,0.7821316614
Worms,1774.5335126100,0.0004084101,0.7247374093,43,77,0.5584415584
WormsTwoClass,1770.0559458200,0.0003200000,0.5664179027,51,77,0.6623376623
Yoga,621.9200416210,0.0001048576,0.0652130430,2597,3000,0.8656666667
