dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,604.5433457190,0.0000310062,0.0187446221,64,100,0.6400000000
Adiac,10.1504038168,0.0020511149,0.0208196445,249,391,0.6368286445
ArrowHead,62.7193640720,0.1453933568,9.1189788788,141,175,0.8057142857
Beef,290.4389023930,0.3276800000,95.1710195361,20,30,0.6666666667
BeetleFly,911.2305567910,0.0000248832,0.0226743322,15,20,0.7500000000
BirdChicken,690.5185390540,0.0000130525,0.0090130278,15,20,0.7500000000
BME,101.3647653840,0.0005153632,0.0522396699,149,150,0.9933333333
Car,137.8019684310,0.0007962624,0.1097265261,49,60,0.8166666667
CBF,169.7360087360,0.0001234217,0.0209490983,899,900,0.9988888889
Chinatown,1769841.7770000000,0.1252332576,221643.0511700000,324,343,0.9446064140
ChlorineConcentration,60.6364646366,0.4984209207,30.2224825321,2496,3840,0.6500000000
CinCECGTorso,3239.5047229200,0.0028629151,9.2744269878,1301,1380,0.9427536232
Coffee,4.9693402843,0.0811098151,0.4030622714,28,28,1.0000000000
Computers,1361.8729755700,0.0000248832,0.0338877576,160,250,0.6400000000
CricketX,599.8450820240,0.0007962624,0.4776340846,315,390,0.8076923077
CricketY,588.2090047010,0.0004618867,0.2716858867,307,390,0.7871794872
CricketZ,603.4893109200,0.0008100984,0.4888857252,308,390,0.7897435897
Crop,4.2980094076,0.0074289563,0.0319297239,12222,16800,0.7275000000
DiatomSizeReduction,13.1057606923,0.0297487625,0.3898801616,292,306,0.9542483660
DistalPhalanxOutlineAgeGroup,8.6350296855,0.0045435424,0.0392336235,99,139,0.7122302158
DistalPhalanxOutlineCorrect,10.4707520600,0.0028629151,0.0299768742,204,276,0.7391304348
DistalPhalanxTW,8.5759364009,0.0345025251,0.2958914609,90,139,0.6474820144
Earthquakes,1019.6324768200,0.0312500000,31.8635149006,101,139,0.7266187050
ECG200,69.2993060804,0.0036344912,0.2518677216,84,100,0.8400000000
ECG5000,131.1791243370,0.0064905067,0.8514189789,4181,4500,0.9291111111
ECGFiveDays,136.9638677750,0.0217653991,2.9810732512,794,861,0.9221835075
ElectricDevices,185.3319106700,0.0006436343,0.1192859746,4844,7711,0.6281934898
EOGHorizontalSignal,53421415.8938999996,0.0001654712,8839.7084647300,186,362,0.5138121547
EOGVerticalSignal,97226551.2342000008,0.0000371293,3609.9537887400,176,362,0.4861878453
EthanolLevel,62.1795980615,0.0001048576,0.0065200034,147,500,0.2940000000
FaceAll,220.9976417040,0.0018860758,0.4168183149,1364,1690,0.8071005917
FaceFour,447.4598113080,0.0026464576,1.1841833960,79,88,0.8977272727
FacesUCR,218.6728343070,0.0026464576,0.5787083733,1946,2050,0.9492682927
FiftyWords,488.0157263030,0.0009922000,0.4842092036,371,455,0.8153846154
Fish,60.5470712388,0.0017210368,0.1042037377,161,175,0.9200000000
FordA,992.0671287680,0.0060466176,5.9986505612,928,1320,0.7030303030
FordB,1000.8707945200,0.0039135393,3.9169471886,531,810,0.6555555556
FreezerRegularTrain,148.2543859510,0.0003200000,0.0474414035,2646,2850,0.9284210526
FreezerSmallTrain,139.6539685470,0.1622365675,22.6569804879,1926,2850,0.6757894737
Fungi,28967.5390116000,0.0297487625,861.7484368160,159,186,0.8548387097
GunPoint,69.5881241090,0.0007962624,0.0554104067,145,150,0.9666666667
GunPointAgeSpan,24561337.6911000013,0.0001048576,2575.4429230700,315,316,0.9968354430
GunPointMaleVersusFemale,25779218.6983999982,0.0438680258,1130883.4322500001,314,316,0.9936708861
GunPointOldVersusYoung,24073016.2247000001,0.0297487625,716142.4411220000,315,315,1.0000000000
Ham,145.9127221640,0.0164916224,2.4063375173,62,105,0.5904761905
HandOutlines,372.9954617820,0.0000371293,0.0138490604,328,370,0.8864864865
Haptics,527.6798658550,0.0006436343,0.3396328611,136,308,0.4415584416
Herring,46.9686506024,0.0007199483,0.0338150025,39,64,0.6093750000
HouseTwenty,2665082506.4400000572,0.0000648599,172857.1181140000,106,119,0.8907563025
InlineSkate,2090.7209939400,0.0000248832,0.0520238286,244,550,0.4436363636
InsectEPGRegularTrain,1890.9213942000,0.0297487625,56.2525713676,249,249,1.0000000000
InsectEPGSmallTrain,2066.6510020900,0.0297487625,61.4803097282,249,249,1.0000000000
InsectWingbeatSound,437.0972553420,0.0007962624,0.3480441096,1094,1980,0.5525252525
ItalyPowerDemand,12.2869556379,0.0282475249,0.3470760853,991,1029,0.9630709427
LargeKitchenAppliances,1417.3440538400,0.0000000243,0.0000344415,298,375,0.7946666667
Lightning2,883.2305247480,0.0008864124,0.7829065334,56,61,0.9180327869
Lightning7,439.5041784570,0.0014348907,0.6306404583,56,73,0.7671232877
Mallat,172.6430330650,0.0656356768,11.3315423201,2144,2345,0.9142857143
Meat,0.7152532756,0.0297487625,0.0212778998,56,60,0.9333333333
MedicalImages,92.9219619716,0.0004618867,0.0429194137,570,760,0.7500000000
MiddlePhalanxOutlineAgeGroup,3.7382525866,0.0020511149,0.0076675856,78,154,0.5064935065
MiddlePhalanxOutlineCorrect,3.9584170990,0.1117016224,0.4421616123,223,291,0.7663230241
MiddlePhalanxTW,4.0218574326,0.0024300000,0.0097731136,76,154,0.4935064935
MixedShapesRegularTrain,1538.4678737800,0.0006436343,0.9902106930,2226,2425,0.9179381443
MixedShapesSmallTrain,1465.2802508600,0.0004084101,0.5984352538,2075,2425,0.8556701031
MoteStrain,89.3270869804,0.0714924299,6.3862105041,1093,1252,0.8730031949
