dataset_name,sample,factor,penalty,correct,test_size,accuracy
StarLightCurves,858.2751644890,0.0000000000,0.0000000000,7467,8236,0.9066294318
Strawberry,16.1328703552,0.0003430000,0.0055335745,349,370,0.9432432432
SwedishLeaf,70.1497505252,0.0017280000,0.1212187689,553,625,0.8848000000
Symbols,508.5673555820,0.0000945000,0.0480596151,965,995,0.9698492462
SyntheticControl,115.8843350630,0.0046655000,0.5406583652,298,300,0.9933333333
ToeSegmentation1,535.5931180800,0.0006205000,0.3323355298,186,228,0.8157894737
ToeSegmentation2,668.6106751740,0.0021970000,1.4689376534,119,130,0.9153846154
Trace,420.4297729460,0.0000175000,0.0073575210,100,100,1.0000000000
TwoLeadECG,23.0033547120,0.0015295000,0.0351836310,1049,1139,0.9209833187
TwoPatterns,254.1233200980,0.0015295000,0.3886816181,4000,4000,1.0000000000
UMD,111.7190539840,0.0003430000,0.0383196355,142,144,0.9861111111
UWaveGestureLibraryAll,1846.3272191900,0.0004725000,0.8723896111,3454,3582,0.9642657733
UWaveGestureLibraryX,622.2578658270,0.0005120000,0.3185960273,2819,3582,0.7869905081
UWaveGestureLibraryY,615.5591208210,0.0005120000,0.3151662699,2535,3582,0.7077051926
UWaveGestureLibraryZ,618.2262261060,0.0002160000,0.1335368648,2500,3582,0.6979341150
Wafer,257.8344831920,0.0080000000,2.0626758655,6148,6164,0.9974042829
Wine,0.2663854026,0.1176490000,0.0313399762,33,54,0.6111111111
WordSynonyms,492.5317271560,0.0010000000,0.4925317272,499,638,0.7821316614
Worms,1787.8114407700,0.0003640000,0.6507633644,42,77,0.5454545455
WormsTwoClass,1800.5548243900,0.0002160000,0.3889198421,54,77,0.7012987013
Yoga,630.7165360970,0.0002160000,0.1362347718,2603,3000,0.8676666667
