dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,594.5200894300,0.0000264396,0.0157188865,64,100,0.6400000000
Adiac,10.0966902631,0.0021436451,0.0216437205,249,391,0.6368286445
ArrowHead,62.5521757116,0.1198515960,7.4969780912,141,175,0.8057142857
Beef,299.6885034020,0.0431010539,12.9168903261,20,30,0.6666666667
BeetleFly,916.7972509390,0.0000015042,0.0013790565,15,20,0.7500000000
BirdChicken,705.1292441170,0.0000105785,0.0074591787,15,20,0.7500000000
BME,104.9957873750,0.0004066714,0.0426987822,149,150,0.9933333333
Car,128.7019918400,0.0009221902,0.1186877108,49,60,0.8166666667
CBF,171.1667090230,0.0000076256,0.0013052484,897,900,0.9966666667
Chinatown,1793562.0674999999,0.0951516944,170660.4698220000,324,343,0.9446064140
ChlorineConcentration,60.2121311005,0.0979715680,5.8990768970,2496,3840,0.6500000000
CinCECGTorso,3221.3053269700,0.0027799059,8.9549256314,1300,1380,0.9420289855
Coffee,5.0433656109,0.0458485007,0.2312307518,28,28,1.0000000000
Computers,1361.7699958300,0.0000046221,0.0062942377,172,250,0.6880000000
CricketX,601.4130154860,0.0007566806,0.4550775870,317,390,0.8128205128
CricketY,592.5983063520,0.0004546320,0.2694141520,308,390,0.7897435897
CricketZ,600.1435035660,0.0009221902,0.5534464352,307,390,0.7871794872
Crop,4.2882403508,0.0063514620,0.0272365954,12218,16800,0.7272619048
DiatomSizeReduction,13.1566300864,0.0017907693,0.0235604892,294,306,0.9607843137
DistalPhalanxOutlineAgeGroup,8.8575148444,0.0039043059,0.0345824476,98,139,0.7050359712
DistalPhalanxOutlineCorrect,10.9688427289,0.0027799059,0.0304923504,203,276,0.7355072464
DistalPhalanxTW,8.7073913314,0.0458485007,0.3992208377,90,139,0.6474820144
Earthquakes,1016.7753887000,0.0310871003,31.6085984874,101,139,0.7266187050
ECG200,68.0055536270,0.0039043059,0.2655144851,84,100,0.8400000000
ECG5000,133.2234430540,0.0058838157,0.7838621861,4185,4500,0.9300000000
ECGFiveDays,130.7702167170,0.0237626800,3.1074508152,792,861,0.9198606272
ElectricDevices,184.9369653240,0.0006874012,0.1271258995,4845,7711,0.6283231747
EOGHorizontalSignal,51517330.1535999998,0.0001652161,8511.4924354600,187,362,0.5165745856
EOGVerticalSignal,105144255.3270000070,0.0000351844,3699.4346024400,176,362,0.4861878453
EthanolLevel,62.4511835993,0.0000901878,0.0056323347,146,500,0.2920000000
FaceAll,223.7138633880,0.0021436451,0.4795631240,1361,1690,0.8053254438
FaceFour,458.5959578180,0.0023341652,1.0704387133,79,88,0.8977272727
FacesUCR,220.6667811930,0.0025570355,0.5642527994,1946,2050,0.9492682927
FiftyWords,488.2070290010,0.0007701560,0.3759955732,369,455,0.8109890110
Fish,59.3060266262,0.0016284136,0.0965747402,161,175,0.9200000000
FordA,1002.6796319400,0.0063514620,6.3684815357,932,1320,0.7060606061
FordB,1007.7913542800,0.0039043059,3.9347257429,531,810,0.6555555556
FreezerRegularTrain,148.4006612720,0.0003273819,0.0485836956,2646,2850,0.9284210526
FreezerSmallTrain,138.2133395460,0.1198515960,16.5650893307,1926,2850,0.6757894737
Fungi,29253.4644467000,0.0017907693,52.3862060192,183,186,0.9838709677
GunPoint,68.7913658754,0.0007566806,0.0520530949,145,150,0.9666666667
GunPointAgeSpan,25141277.2780000009,0.0001015600,2553.3470309400,315,316,0.9968354430
GunPointMaleVersusFemale,25022793.7745000012,0.0126156163,315677.9655020000,314,316,0.9936708861
GunPointOldVersusYoung,23624547.3288000003,0.0017907693,42306.1140581000,315,315,1.0000000000
Ham,149.3252172200,0.0156338142,2.3345226949,62,105,0.5904761905
HandOutlines,387.3093884630,0.0000351844,0.0136272376,328,370,0.8864864865
Haptics,529.6565649500,0.0006181218,0.3273922902,135,308,0.4383116883
Herring,46.6408079822,0.0006181218,0.0288297020,39,64,0.6093750000
HouseTwenty,2644818598.2800002098,0.0000697663,184519.2493480000,106,119,0.8907563025
InlineSkate,2094.3804688000,0.0000264396,0.0553746283,241,550,0.4381818182
InsectEPGRegularTrain,2007.4102626500,0.0017907693,3.5948086687,249,249,1.0000000000
InsectEPGSmallTrain,2005.0094330000,0.0017907693,3.5905093367,249,249,1.0000000000
InsectWingbeatSound,429.7966403720,0.0007566806,0.3252187980,1088,1980,0.5494949495
ItalyPowerDemand,12.2000330470,0.0000000000,0.0000000000,978,1029,0.9504373178
LargeKitchenAppliances,1417.0323909200,0.0000607170,0.0860379454,295,375,0.7866666667
Lightning2,878.9889430940,0.0008394354,0.7378544373,56,61,0.9180327869
Lightning7,437.8426573860,0.0013526055,0.5922283693,56,73,0.7671232877
Mallat,167.0642352690,0.0431010539,7.2006446023,2144,2345,0.9142857143
Meat,0.6995463098,0.0017907693,0.0012527261,56,60,0.9333333333
MedicalImages,93.9674586279,0.0005025926,0.0472273505,568,760,0.7473684211
