dataset_name,sample,factor,penalty,correct,test_size,accuracy
MiddlePhalanxOutlineAgeGroup,3.8729372436,0.0014376576,0.0055679576,79,154,0.5129870130
MiddlePhalanxOutlineCorrect,3.9470300777,0.1068689209,0.4218148452,223,291,0.7663230241
MiddlePhalanxTW,4.0832945947,0.0019531250,0.0079751848,75,154,0.4870129870
MixedShapesRegularTrain,1533.9458511200,0.0006181218,0.9481654312,2226,2425,0.9179381443
MixedShapesSmallTrain,1486.5921950400,0.0003273819,0.4866834285,2055,2425,0.8474226804
MoteStrain,89.7302481949,0.0519986978,4.6658560607,1083,1252,0.8650159744
NonInvasiveFetalECGThorax1,106.8503812340,0.0063514620,0.6786561313,1635,1965,0.8320610687
NonInvasiveFetalECGThorax2,131.6617800220,0.0019531250,0.2571519141,1749,1965,0.8900763359
OliveOil,0.1244758445,0.0237626800,0.0029578797,26,30,0.8666666667
OSULeaf,751.9831921690,0.0007566806,0.5690111251,169,242,0.6983471074
PhalangesOutlinesCorrect,6.5571029447,0.0272065344,0.1783960468,653,858,0.7610722611
Phoneme,2022.2544172400,0.0001614305,0.3264535344,476,1896,0.2510548523
PigAirwayPressure,48595.0825958000,0.0000901878,4.3826834769,39,208,0.1875000000
PigArtPressure,755105.0272360001,0.0000535642,40.4466258350,127,208,0.6105769231
PigCVP,24600.3305744000,0.0000170951,0.4205444467,91,208,0.4375000000
Plane,88.2059215060,0.0000046221,0.0004076966,105,105,1.0000000000
PowerCons,274.8424984000,0.0130640411,3.5905537070,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8301391914,0.0237626800,0.0672516920,163,205,0.7951219512
ProximalPhalanxOutlineCorrect,2.9170535290,0.0080453273,0.0234686503,233,291,0.8006872852
ProximalPhalanxTW,2.9080849044,0.0009379056,0.0027275090,153,205,0.7463414634
RefrigerationDevices,1436.6983698300,0.0011191305,1.6078529263,158,375,0.4213333333
Rock,2794808.8825099999,0.0000000010,0.0027948089,27,50,0.5400000000
ScreenType,1325.9784230500,0.0000105785,0.0140268043,151,375,0.4026666667
SemgHandGenderCh2,1203866.1535100001,0.0000170951,20.5801797619,565,600,0.9416666667
SemgHandMovementCh2,1275290.0560399999,0.0000145071,18.5008190045,366,450,0.8133333333
SemgHandSubjectCh2,1258739.2247400000,0.0000697663,87.8175981611,409,450,0.9088888889
ShapeletSim,955.4924155470,0.0012358680,1.1808624689,154,180,0.8555555556
ShapesAll,861.0612267660,0.0002087284,0.1797278987,499,600,0.8316666667
SmallKitchenAppliances,1432.1797416600,0.0001299617,0.1861285709,248,375,0.6613333333
SmoothSubspace,1.9468618135,0.0354520878,0.0690203160,143,150,0.9533333333
SonyAIBORobotSurface1,36.8863330400,0.0665404108,2.4544317525,448,601,0.7454242928
SonyAIBORobotSurface2,78.9712297168,0.0017907693,0.1414192537,806,953,0.8457502623
StarLightCurves,851.5137162570,0.0000001186,0.0001009792,7460,8236,0.9057795046
Strawberry,17.0068211161,0.0002354362,0.0040040210,349,370,0.9432432432
SwedishLeaf,71.2713642633,0.0016528652,0.1178019599,553,625,0.8848000000
Symbols,513.4099962640,0.0000788156,0.0404647368,966,995,0.9708542714
SyntheticControl,114.8751429670,0.0006181218,0.0710068347,299,300,0.9966666667
ToeSegmentation1,536.4881220490,0.0005603572,0.3006249957,186,228,0.8157894737
ToeSegmentation2,679.0347785580,0.0023341652,1.5849793314,120,130,0.9230769231
Trace,406.9045226520,0.0000003227,0.0001313031,100,100,1.0000000000
TwoLeadECG,23.9244103646,0.0000264396,0.0006325524,1029,1139,0.9034240562
TwoPatterns,252.1632443410,0.0000230613,0.0058152150,4000,4000,1.0000000000
UMD,106.6051024850,0.0004066714,0.0433532446,142,144,0.9861111111
UWaveGestureLibraryAll,1835.2773222500,0.0002621440,0.4811069384,3445,3582,0.9617532105
UWaveGestureLibraryX,624.7146699180,0.0003823683,0.2388710901,2816,3582,0.7861529872
UWaveGestureLibraryY,620.3054671790,0.0006181218,0.3834243564,2540,3582,0.7091010609
UWaveGestureLibraryZ,608.3960156210,0.0001869722,0.1137531605,2503,3582,0.6987716360
Wafer,253.8760030210,0.0063514620,1.6124837746,6150,6164,0.9977287476
Wine,0.2828675939,0.0017907693,0.0005065506,32,54,0.5925925926
WordSynonyms,485.5958121740,0.0009221902,0.4478116810,500,638,0.7836990596
Worms,1783.0571893900,0.0004066714,0.7251183347,43,77,0.5584415584
WormsTwoClass,1778.4263647200,0.0002087284,0.3712080205,53,77,0.6883116883
Yoga,622.6298615680,0.0001015600,0.0632342618,2595,3000,0.8650000000
