dataset_name,sample,factor,penalty,correct,test_size,accuracy
HandOutlines,364.9344529670,0.0000377802,0.0137872966,328,370,0.8864864865
Haptics,520.7069328450,0.0005952805,0.3099666641,137,308,0.4448051948
Herring,46.2638864593,0.0006553600,0.0303195006,37,64,0.5781250000
HouseTwenty,2658613624.0799999237,0.0000656100,174431.6398760000,106,119,0.8907563025
InlineSkate,2049.6784914600,0.0000282430,0.0578889746,239,550,0.4345454545
InsectEPGRegularTrain,1917.4598925400,0.0036147715,6.9311794266,249,249,1.0000000000
InsectEPGSmallTrain,2040.0593713700,0.0036147715,7.3743485320,249,249,1.0000000000
InsectWingbeatSound,438.1998269840,0.0007984925,0.3498992854,1093,1980,0.5520202020
ItalyPowerDemand,11.9240990313,0.0036147715,0.0431028937,986,1029,0.9582118562
LargeKitchenAppliances,1418.1572510100,0.0000000011,0.0000015984,298,375,0.7946666667
Lightning2,896.3218546520,0.0008833789,0.7917917793,56,61,0.9180327869
Lightning7,432.1384667960,0.0014048224,0.6070777819,56,73,0.7671232877
Mallat,165.9807989520,0.0485480807,8.0580492229,2144,2345,0.9142857143
Meat,0.6908842789,0.0036147715,0.0024973888,56,60,0.9333333333
MedicalImages,92.7154288928,0.0004347792,0.0403107413,571,760,0.7513157895
MiddlePhalanxOutlineAgeGroup,3.9010891590,0.0020047612,0.0078207523,78,154,0.5064935065
MiddlePhalanxOutlineCorrect,3.9590496127,0.0917619462,0.3632900975,222,291,0.7628865979
MiddlePhalanxTW,4.1025505307,0.0020047612,0.0082246342,75,154,0.4870129870
MixedShapesRegularTrain,1557.7304715300,0.0006553600,1.0208742418,2223,2425,0.9167010309
MixedShapesSmallTrain,1465.7770930800,0.0003512479,0.5148511923,2059,2425,0.8490721649
MoteStrain,89.7199904092,0.0576480100,5.1721789043,1083,1252,0.8650159744
NonInvasiveFetalECGThorax1,108.4250964900,0.0062259690,0.6750512940,1635,1965,0.8320610687
NonInvasiveFetalECGThorax2,136.5968632800,0.0014048224,0.1918943282,1751,1965,0.8910941476
OliveOil,0.1259775047,0.0300059895,0.0037800797,26,30,0.8666666667
OSULeaf,763.5978600470,0.0005748702,0.4389696806,168,242,0.6942148760
PhalangesOutlinesCorrect,6.1556545648,0.0281474977,0.1732662725,652,858,0.7599067599
Phoneme,2034.5240961500,0.0002821110,0.5739616085,481,1896,0.2536919831
PigAirwayPressure,50293.7787647000,0.0000976201,4.9096853852,39,208,0.1875000000
PigArtPressure,789193.0748540000,0.0000500246,39.4791004829,126,208,0.6057692308
PigCVP,23767.7144382000,0.0000180707,0.4295003724,92,208,0.4423076923
Plane,89.1921422785,0.0000094193,0.0008401289,105,105,1.0000000000
PowerCons,280.6663213500,0.0191707313,5.3805786315,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.9585232847,0.0249907541,0.0739357280,162,205,0.7902439024
ProximalPhalanxOutlineCorrect,2.9738979869,0.0090225625,0.0268321804,233,291,0.8006872852
ProximalPhalanxTW,2.9801132697,0.0007984925,0.0023795982,153,205,0.7463414634
RefrigerationDevices,1432.0605917600,0.0011688200,1.6738211006,160,375,0.4266666667
Rock,2748843.5228499998,0.0000000017,0.0046117942,27,50,0.5400000000
ScreenType,1329.9607661900,0.0000110075,0.0146395849,154,375,0.4106666667
SemgHandGenderCh2,1251488.3526999999,0.0000152588,19.0961967881,564,600,0.9400000000
SemgHandMovementCh2,1275301.7568099999,0.0000131332,16.7487423266,370,450,0.8222222222
SemgHandSubjectCh2,1218542.4884100000,0.0000656100,79.9485726644,410,450,0.9111111111
ShapeletSim,953.5601384110,0.0016815125,1.6034233295,152,180,0.8444444444
ShapesAll,885.9226163500,0.0002251875,0.1994987338,499,600,0.8316666667
SmallKitchenAppliances,1426.1255083200,0.0001031254,0.1470698076,248,375,0.6613333333
SmoothSubspace,1.9793915915,0.0360040606,0.0712661349,143,150,0.9533333333
SonyAIBORobotSurface1,37.0036830692,0.1113034787,4.1186386520,440,601,0.7321131448
SonyAIBORobotSurface2,79.4479961431,0.0039062500,0.3103437349,812,953,0.8520461700
StarLightCurves,879.8867957950,0.0000000000,0.0000000058,7467,8236,0.9066294318
Strawberry,17.1623690128,0.0002251875,0.0038647516,349,370,0.9432432432
SwedishLeaf,73.1661308269,0.0016815125,0.1230297664,553,625,0.8848000000
Symbols,520.9499013230,0.0000754496,0.0393054366,966,995,0.9708542714
SyntheticControl,117.0491090150,0.0010685426,0.1250719609,298,300,0.9933333333
ToeSegmentation1,541.7195585300,0.0005952805,0.3224750696,186,228,0.8157894737
ToeSegmentation2,666.1106387070,0.0023811287,1.5860951367,120,130,0.9230769231
Trace,429.5481266350,0.0000005635,0.0002420659,100,100,1.0000000000
TwoLeadECG,24.0374062093,0.0000439024,0.0010553003,1031,1139,0.9051799824
TwoPatterns,254.5805545340,0.0000439024,0.0111767026,4000,4000,1.0000000000
UMD,108.8480185060,0.0003512479,0.0382326429,142,144,0.9861111111
UWaveGestureLibraryAll,1852.0988050100,0.0001785794,0.3307466757,3446,3582,0.9620323841
UWaveGestureLibraryX,602.8045772090,0.0002821110,0.1700577965,2794,3582,0.7800111669
UWaveGestureLibraryY,622.1901414520,0.0006553600,0.4077585311,2540,3582,0.7091010609
UWaveGestureLibraryZ,611.4382099030,0.0001785794,0.1091902628,2502,3582,0.6984924623
Wafer,257.4133521970,0.0083733938,2.1554233645,6148,6164,0.9974042829
Wine,0.2876308628,0.0036147715,0.0010397199,33,54,0.6111111111
WordSynonyms,490.2236826210,0.0009682652,0.4746665319,499,638,0.7821316614
Worms,1803.7984589100,0.0004347792,0.7842540759,44,77,0.5714285714
WormsTwoClass,1773.6134588200,0.0002251875,0.3993956500,54,77,0.7012987013
Yoga,630.3062698610,0.0001099512,0.0693029073,2598,3000,0.8660000000
