dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,606.6521079960,0.0000282430,0.0171336474,64,100,0.6400000000
Adiac,10.1693673225,0.0020047612,0.0203871533,249,391,0.6368286445
ArrowHead,60.3741825708,0.3596345248,21.7126404594,140,175,0.8000000000
Beef,309.5064462260,0.4445808695,137.6006449760,20,30,0.6666666667
BeetleFly,905.5573295290,0.0000031711,0.0028716518,15,20,0.7500000000
BirdChicken,687.5548235400,0.0000110075,0.0075682813,15,20,0.7500000000
BME,106.1745209930,0.0003930136,0.0417280286,149,150,0.9933333333
Car,131.6712984240,0.0008833789,0.1163156417,49,60,0.8166666667
CBF,170.7399057930,0.0000152588,0.0026052842,897,900,0.9966666667
Chinatown,1769272.8100000001,0.1001129150,177127.0585080000,324,343,0.9446064140
ChlorineConcentration,59.5337489207,0.0248155780,1.4773643916,2496,3840,0.6500000000
CinCECGTorso,3243.2543348900,0.0028179280,9.1392573406,1300,1380,0.9420289855
Coffee,4.9026675729,0.0513798374,0.2518982629,28,28,1.0000000000
Computers,1364.8437239500,0.0000046349,0.0063259642,172,250,0.6880000000
CricketX,604.6706131980,0.0007984925,0.4828249635,315,390,0.8076923077
CricketY,596.1055235810,0.0004347792,0.2591742909,307,390,0.7871794872
CricketZ,595.7211242900,0.0008118126,0.4836139147,308,390,0.7897435897
Crop,4.3872806646,0.0062259690,0.0273150736,12218,16800,0.7272619048
DiatomSizeReduction,13.1232475836,0.0036147715,0.0474375417,294,306,0.9607843137
DistalPhalanxOutlineAgeGroup,8.8406764320,0.0039062500,0.0345338923,98,139,0.7050359712
DistalPhalanxOutlineCorrect,10.9887441704,0.0028179280,0.0309654904,203,276,0.7355072464
DistalPhalanxTW,8.9984369296,0.0318644813,0.2867305252,90,139,0.6474820144
Earthquakes,1016.1640292700,0.0255176063,25.9300736293,96,139,0.6906474820
ECG200,69.9128896432,0.0036147715,0.2527191230,84,100,0.8400000000
ECG5000,130.7713994660,0.0067280826,0.8798407757,4181,4500,0.9291111111
ECGFiveDays,133.8012153320,0.0218340106,2.9214171483,795,861,0.9233449477
ElectricDevices,183.9259761670,0.0007269263,0.1337006222,4841,7711,0.6278044352
EOGHorizontalSignal,52006822.2622999996,0.0001785794,9287.3466209100,183,362,0.5055248619
EOGVerticalSignal,88079959.7301000059,0.0000500246,4406.1683908700,178,362,0.4917127072
EthanolLevel,63.1609245546,0.0000852891,0.0053869386,145,500,0.2900000000
FaceAll,222.0564102890,0.0020047612,0.4451700807,1362,1690,0.8059171598
FaceFour,467.2731329890,0.0021929449,1.0247042548,80,88,0.9090909091
FacesUCR,219.6545978860,0.0025995284,0.5709983554,1946,2050,0.9492682927
FiftyWords,485.5469835630,0.0007984925,0.3877056359,368,455,0.8087912088
Fish,60.3365736486,0.0016815125,0.1014567052,161,175,0.9200000000
FordA,999.9064636970,0.0062259690,6.2253866870,929,1320,0.7037878788
FordB,995.2653089280,0.0039062500,3.8877551130,531,810,0.6555555556
FreezerRegularTrain,145.8463685420,0.0002821110,0.0411448635,2649,2850,0.9294736842
FreezerSmallTrain,138.2861667450,0.1370114371,18.9467864324,1926,2850,0.6757894737
Fungi,28691.2239163000,0.0036147715,103.7122193300,174,186,0.9354838710
GunPoint,69.1670055349,0.0011688200,0.0808437813,146,150,0.9733333333
GunPointAgeSpan,24658367.7901000008,0.0000588911,1452.1591592100,314,316,0.9936708861
GunPointMaleVersusFemale,24319390.7078999989,0.0157396019,382777.5277120000,314,316,0.9936708861
GunPointOldVersusYoung,24036325.2967000008,0.0036147715,86885.8243319000,315,315,1.0000000000
Ham,147.8058266910,0.0146830438,2.1702394213,62,105,0.5904761905
