dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,610.3379102230,0.0000324850,0.0198268270,64,100,0.6400000000
Adiac,10.1653578249,0.0019448100,0.0197696896,250,391,0.6393861893
ArrowHead,59.2662186052,0.1785062500,10.5793904349,140,175,0.8000000000
Beef,321.9153140890,0.1019524850,32.8200662309,20,30,0.6666666667
BeetleFly,898.7861346420,0.0000532850,0.0478918192,15,20,0.7500000000
BirdChicken,694.6232170090,0.0000129600,0.0090023169,15,20,0.7500000000
BME,104.5789811090,0.0005062500,0.0529431092,149,150,0.9933333333
Car,127.5463271300,0.0009424850,0.1202105001,49,60,0.8166666667
CBF,170.8811592820,0.0002464850,0.0421196425,899,900,0.9988888889
Chinatown,1817398.2579999999,0.1477633600,268544.8730600000,324,343,0.9446064140
ChlorineConcentration,59.0748595459,0.2218940050,13.1083571795,2496,3840,0.6500000000
CinCECGTorso,3189.4932163500,0.0030580850,9.7537413625,1301,1380,0.9427536232
Coffee,4.9703941655,0.1055600100,0.5246748578,28,28,1.0000000000
Computers,1368.3238338000,0.0000240100,0.0328534552,160,250,0.6400000000
CricketX,599.2762352190,0.0008352100,0.5005215044,316,390,0.8102564103
CricketY,593.0133542690,0.0005062500,0.3002130106,305,390,0.7820512821
CricketZ,604.5636205490,0.0008525600,0.5154267603,309,390,0.7923076923
Crop,4.2841686612,0.0081000000,0.0347017662,12231,16800,0.7280357143
DiatomSizeReduction,13.3402916873,0.0600740050,0.8014047495,290,306,0.9477124183
DistalPhalanxOutlineAgeGroup,8.6988990850,0.0045697600,0.0397518811,99,139,0.7122302158
DistalPhalanxOutlineCorrect,11.0342875342,0.0167961600,0.1853336589,197,276,0.7137681159
DistalPhalanxTW,8.8101109958,0.0379457600,0.3343063574,91,139,0.6546762590
Earthquakes,1016.1220021500,0.0187416100,19.0437622767,101,139,0.7266187050
ECG200,68.7059680420,0.0039062500,0.2683826877,84,100,0.8400000000
ECG5000,132.7518716720,0.0066096850,0.8774480549,4182,4500,0.9293333333
ECGFiveDays,133.2773832330,0.0219928850,2.9311541625,794,861,0.9221835075
ElectricDevices,184.6831118420,0.0006553600,0.1210339242,4848,7711,0.6287122293
EOGHorizontalSignal,52385374.9404999986,0.0001464100,7669.7427450400,190,362,0.5248618785
EOGVerticalSignal,95043316.4369000047,0.0000409600,3892.9742412500,176,362,0.4861878453
EthanolLevel,63.2191086176,0.0001000000,0.0063219109,147,500,0.2940000000
FaceAll,219.1951713840,0.0021436850,0.4698854010,1362,1690,0.8059171598
FaceFour,461.4069279680,0.0027984100,1.2912057613,79,88,0.8977272727
FacesUCR,218.3487240110,0.0027984100,0.6110292528,1946,2050,0.9492682927
FiftyWords,493.9577615860,0.0008352100,0.4125584621,369,455,0.8109890110
Fish,59.9510187306,0.0016000000,0.0959216300,161,175,0.9200000000
FordA,992.0357736770,0.0053144100,5.2720848360,939,1320,0.7113636364
FordB,988.1849908850,0.0039062500,3.8600976206,531,810,0.6555555556
FreezerRegularTrain,147.0507302940,0.0002464850,0.0362457993,2650,2850,0.9298245614
FreezerSmallTrain,136.7491492840,0.1677721600,22.9427001536,1926,2850,0.6757894737
Fungi,28754.1037301000,0.0600740050,1727.3741712600,156,186,0.8387096774
GunPoint,69.4912055938,0.0008352100,0.0580397498,145,150,0.9666666667
GunPointAgeSpan,24314590.3658000007,0.0001000000,2431.4590365800,315,316,0.9968354430
GunPointMaleVersusFemale,25237831.4871999994,0.0703840850,1776341.6766100000,314,316,0.9936708861
GunPointOldVersusYoung,23975339.8535999991,0.0600740050,1440294.6862400000,315,315,1.0000000000
Ham,146.0102756760,0.0159012050,2.3217393256,62,105,0.5904761905
HandOutlines,400.8807251420,0.0000409600,0.0164200745,327,370,0.8837837838
Haptics,523.2529392600,0.0008525600,0.4461045259,139,308,0.4512987013
Herring,47.2609032878,0.0006553600,0.0309729056,38,64,0.5937500000
HouseTwenty,2655658557.6700000763,0.0000656100,174237.7579680000,106,119,0.8907563025
InlineSkate,2124.9828692800,0.0000240100,0.0510208387,245,550,0.4454545455
InsectEPGRegularTrain,1927.0524465700,0.0600740050,115.7657583110,249,249,1.0000000000
InsectEPGSmallTrain,1996.3243500200,0.0600740050,119.9271989840,249,249,1.0000000000
InsectWingbeatSound,429.0420362260,0.0008352100,0.3583401991,1092,1980,0.5515151515
ItalyPowerDemand,12.0290413020,0.5345072050,6.4296092451,983,1029,0.9552964043
LargeKitchenAppliances,1412.0617543900,0.0000000100,0.0000141206,298,375,0.7946666667
Lightning2,888.6075262200,0.0008352100,0.7421738920,56,61,0.9180327869
Lightning7,441.9040401440,0.0013032100,0.5758937642,56,73,0.7671232877
Mallat,168.7228501650,0.1019524850,17.2017138506,2144,2345,0.9142857143
Meat,0.7379713069,0.0600740050,0.0443328920,56,60,0.9333333333
MedicalImages,95.3012666013,0.0004452050,0.0424286004,571,760,0.7513157895
MiddlePhalanxOutlineAgeGroup,3.9699589402,0.0023716100,0.0094151943,76,154,0.4935064935
MiddlePhalanxOutlineCorrect,4.0118310655,0.1019524850,0.4090161465,223,291,0.7663230241
MiddlePhalanxTW,4.1503686356,0.0019448100,0.0080716784,75,154,0.4870129870
MixedShapesRegularTrain,1559.0257116100,0.0006553600,1.0217230904,2223,2425,0.9167010309
MixedShapesSmallTrain,1453.3623316200,0.0003348850,0.4867092444,2055,2425,0.8474226804
MoteStrain,90.9032458866,0.0731161600,6.6464962708,1091,1252,0.8714057508
NonInvasiveFetalECGThorax1,109.4258309180,0.0061465600,0.6725924353,1635,1965,0.8320610687
NonInvasiveFetalECGThorax2,137.2906681080,0.0019448100,0.2670042642,1749,1965,0.8900763359
OliveOil,0.1275953163,0.0819676850,0.0104586927,26,30,0.8666666667
OSULeaf,769.2992607660,0.0003841600,0.2955340040,167,242,0.6900826446
PhalangesOutlinesCorrect,6.6610145268,0.0256000000,0.1705219719,653,858,0.7610722611
Phoneme,2036.8514926600,0.0001756100,0.3576914906,473,1896,0.2494725738
PigAirwayPressure,50628.8451387000,0.0001000000,5.0628845139,39,208,0.1875000000
PigArtPressure,766192.2329860000,0.0000448100,34.3330739601,124,208,0.5961538462
PigCVP,23910.1414334000,0.0000184850,0.4419789644,93,208,0.4471153846
Plane,87.4660746696,0.0001464100,0.0128059080,105,105,1.0000000000
PowerCons,274.2300788000,0.0208513600,5.7180700959,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8012927688,0.0231344100,0.0648062554,163,205,0.7951219512
ProximalPhalanxOutlineCorrect,2.8392838448,0.0092352100,0.0262213826,233,291,0.8006872852
ProximalPhalanxTW,2.9028533813,0.0008352100,0.0024244922,153,205,0.7463414634
RefrigerationDevices,1433.8377301300,0.0013032100,1.8685916683,160,375,0.4266666667
Rock,2676321.1375799999,0.0000000100,0.0267632114,27,50,0.5400000000
ScreenType,1332.3505061000,0.0000129600,0.0172672626,155,375,0.4133333333
SemgHandGenderCh2,1248656.6042100000,0.0000129600,16.1825895905,566,600,0.9433333333
SemgHandMovementCh2,1184817.6571000000,0.0000129600,15.3552368360,370,450,0.8222222222
SemgHandSubjectCh2,1266222.1012299999,0.0000656100,83.0768320619,408,450,0.9066666667
ShapeletSim,962.1139214250,0.0013032100,1.2538364835,155,180,0.8611111111
ShapesAll,886.0908051010,0.0002073600,0.1837397893,500,600,0.8333333333
SmallKitchenAppliances,1434.3432410000,0.0001464100,0.2100021939,251,375,0.6693333333
SmoothSubspace,1.9548116593,0.0374809600,0.0732682176,143,150,0.9533333333
SonyAIBORobotSurface1,38.3293577145,0.1731392050,6.6363145229,425,601,0.7071547421
SonyAIBORobotSurface2,78.0349917492,0.0600740050,4.6878744845,820,953,0.8604407135
StarLightCurves,847.1268042610,0.0000000800,0.0000677701,7461,8236,0.9059009228
Strawberry,16.3552675676,0.0003841600,0.0062830396,351,370,0.9486486486
SwedishLeaf,70.7401406558,0.0019448100,0.1375761329,555,625,0.8880000000
Symbols,522.9564713350,0.0000828050,0.0433034106,966,995,0.9708542714
SyntheticControl,117.4896177690,0.0013032100,0.1531136448,298,300,0.9933333333
ToeSegmentation1,537.6030528080,0.0005808050,0.3122425411,186,228,0.8157894737
ToeSegmentation2,662.0182635720,0.0025704850,1.7017080162,120,130,0.9230769231
Trace,415.7790976100,0.0000096050,0.0039935582,100,100,1.0000000000
TwoLeadECG,23.8216820014,0.0007452850,0.0177539423,1046,1139,0.9183494293
TwoPatterns,255.1510325970,0.0007452850,0.1901602373,4000,4000,1.0000000000
UMD,108.7438758560,0.0003348850,0.0364166929,142,144,0.9861111111
UWaveGestureLibraryAll,1837.5456563800,0.0006553600,1.2042539214,3455,3582,0.9645449470
UWaveGestureLibraryX,621.6940191230,0.0002856100,0.1775620288,2798,3582,0.7811278615
UWaveGestureLibraryY,603.8593774640,0.0006553600,0.3957452816,2540,3582,0.7091010609
