dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,594.9649812570,0.0000290749,0.0172985453,64,100,0.6400000000
Adiac,9.8294972271,0.0021767823,0.0213966759,249,391,0.6368286445
ArrowHead,61.6081758646,0.1337071767,8.2374552573,141,175,0.8057142857
Beef,294.1615837480,0.0687194767,20.2146301110,20,30,0.6666666667
BeetleFly,890.2011902760,0.0000113906,0.0101399479,15,20,0.7500000000
BirdChicken,708.8432169520,0.0000140839,0.0099832915,15,20,0.7500000000
BME,100.6633210360,0.0004346554,0.0437538557,149,150,0.9933333333
Car,133.2443907890,0.0008875037,0.1182548873,49,60,0.8166666667
CBF,173.8057747250,0.0000640000,0.0111235696,897,900,0.9966666667
Chinatown,1824275.6584999999,0.1079181631,196872.4780190000,324,343,0.9446064140
ChlorineConcentration,59.1178361561,0.2621440000,15.4973860413,2496,3840,0.6500000000
CinCECGTorso,3240.9942439400,0.0030109364,9.7584274894,1301,1380,0.9427536232
Coffee,4.9521762678,0.0656214895,0.3249691828,28,28,1.0000000000
Computers,1366.9727277500,0.0000144822,0.0197967574,167,250,0.6680000000
CricketX,591.7353245430,0.0008082518,0.4782711652,315,390,0.8076923077
CricketY,590.2154662680,0.0003874205,0.2286615646,307,390,0.7871794872
CricketZ,592.0127517380,0.0007290000,0.4315772960,306,390,0.7846153846
Crop,4.2242464494,0.0077800397,0.0328648053,12228,16800,0.7278571429
DiatomSizeReduction,13.0229897185,0.0147331436,0.1918695776,293,306,0.9575163399
DistalPhalanxOutlineAgeGroup,8.8055532784,0.0040960000,0.0360675462,98,139,0.7050359712
DistalPhalanxOutlineCorrect,10.7322658565,0.0030109364,0.0323141698,203,276,0.7355072464
DistalPhalanxTW,8.7256763056,0.0404762236,0.3531824254,91,139,0.6546762590
Earthquakes,1018.6428390900,0.0308409795,31.4159428735,101,139,0.7266187050
ECG200,68.5366811956,0.0038073719,0.2609446328,84,100,0.8400000000
ECG5000,126.9866312130,0.0067888385,0.8620917249,4181,4500,0.9291111111
ECGFiveDays,137.5527688050,0.0221643611,3.0487692421,792,861,0.9198606272
ElectricDevices,183.6888581040,0.0007290000,0.1339091776,4840,7711,0.6276747504
EOGHorizontalSignal,53049514.5169000030,0.0001911030,10137.9200995000,179,362,0.4944751381
EOGVerticalSignal,81488390.3273999989,0.0000470459,3833.6931142200,176,362,0.4861878453
EthanolLevel,62.7668442044,0.0000857661,0.0053832688,145,500,0.2900000000
FaceAll,222.6344192010,0.0020075240,0.4469439354,1362,1690,0.8059171598
FaceFour,455.7680167280,0.0025657264,1.1693760369,78,88,0.8863636364
FacesUCR,218.7263093750,0.0023712544,0.5186557175,1945,2050,0.9487804878
FiftyWords,486.7148914940,0.0008875037,0.4319612578,370,455,0.8131868132
Fish,61.5212172174,0.0015448044,0.0950382480,161,175,0.9200000000
FordA,992.7048712880,0.0047501042,4.7154516192,952,1320,0.7212121212
FordB,998.5251686620,0.0035187438,3.5135542074,533,810,0.6580246914
FreezerRegularTrain,145.6549639170,0.0002765282,0.0402777051,2649,2850,0.9294736842
FreezerSmallTrain,132.7550439450,0.1453241479,19.2925136402,1926,2850,0.6757894737
Fungi,29360.0815927000,0.0147331436,432.5662982280,164,186,0.8817204301
GunPoint,68.5044175140,0.0008875037,0.0607979227,145,150,0.9666666667
GunPointAgeSpan,24990897.6957000010,0.0000857661,2143.3723556700,314,316,0.9936708861
