dataset_name,sample,factor,penalty,correct,test_size,accuracy
GunPointMaleVersusFemale,25584318.5273999982,0.0308409795,789045.4421000000,314,316,0.9936708861
GunPointOldVersusYoung,23672710.3896000013,0.0147331436,348773.4415830000,315,315,1.0000000000
Ham,150.4607483300,0.0138412872,2.0825704301,62,105,0.5904761905
HandOutlines,358.6728924310,0.0000470459,0.0168740822,328,370,0.8864864865
Haptics,524.1804093390,0.0005948233,0.3117947319,136,308,0.4415584416
Herring,46.6942188036,0.0005948233,0.0277748103,38,64,0.5937500000
HouseTwenty,2628249820.3600001335,0.0000748831,196811.3903070000,106,119,0.8907563025
InlineSkate,2151.4534184500,0.0000241376,0.0519308553,244,550,0.4436363636
InsectEPGRegularTrain,1864.7377798300,0.0147331436,27.4734494875,249,249,1.0000000000
InsectEPGSmallTrain,2032.5500080200,0.0147331436,29.9458511434,249,249,1.0000000000
InsectWingbeatSound,434.9241360910,0.0008875037,0.3859967717,1098,1980,0.5545454545
ItalyPowerDemand,11.7680509907,0.5310161320,6.2490249182,983,1029,0.9552964043
LargeKitchenAppliances,1415.8523307300,0.0000000099,0.0000139610,298,375,0.7946666667
Lightning2,890.4570885190,0.0008082518,0.7197135807,56,61,0.9180327869
Lightning7,437.9721166050,0.0012914680,0.5656269599,56,73,0.7671232877
Mallat,169.1963833220,0.0625235022,10.5787504464,2144,2345,0.9142857143
Meat,0.7038968630,0.0147331436,0.0103706136,56,60,0.9333333333
MedicalImages,94.7096994280,0.0004818903,0.0456396858,568,760,0.7473684211
MiddlePhalanxOutlineAgeGroup,3.9400601717,0.0007290000,0.0028723039,79,154,0.5129870130
MiddlePhalanxOutlineCorrect,3.9390421104,0.1079181631,0.4250941889,223,291,0.7663230241
MiddlePhalanxTW,4.0864337440,0.0008875037,0.0036267250,79,154,0.5129870130
MixedShapesRegularTrain,1547.6889363900,0.0005948233,0.9206014730,2224,2425,0.9171134021
MixedShapesSmallTrain,1462.0615794500,0.0003481681,0.5090432497,2057,2425,0.8482474227
MoteStrain,90.9397354840,0.0625235022,5.6858707524,1088,1252,0.8690095847
NonInvasiveFetalECGThorax1,109.5713376320,0.0049200534,0.5390968328,1632,1965,0.8305343511
NonInvasiveFetalECGThorax2,131.4548997260,0.0015448044,0.2030721096,1750,1965,0.8905852417
OliveOil,0.1289745129,0.0444182668,0.0057288243,26,30,0.8666666667
OSULeaf,752.4260331860,0.0003874205,0.2915052617,167,242,0.6900826446
PhalangesOutlinesCorrect,6.8086242813,0.0247949113,0.1688192351,653,858,0.7610722611
Phoneme,2030.9881431200,0.0002441406,0.4958467146,479,1896,0.2526371308
PigAirwayPressure,49930.3009840000,0.0001133799,5.6610927323,38,208,0.1826923077
PigArtPressure,786475.9951290000,0.0000555229,43.6674598822,129,208,0.6201923077
PigCVP,24293.6558207000,0.0000167772,0.4075799111,91,208,0.4375000000
Plane,87.1924520072,0.0000405291,0.0035338275,105,105,1.0000000000
PowerCons,272.0888634000,0.0197706097,5.3793627122,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8245559992,0.0247949113,0.0700346155,162,205,0.7902439024
ProximalPhalanxOutlineCorrect,2.8892316456,0.0094742969,0.0273734384,234,291,0.8041237113
ProximalPhalanxTW,2.8672375006,0.0008082518,0.0023174500,153,205,0.7463414634
RefrigerationDevices,1429.9943869900,0.0011826049,1.6911183640,160,375,0.4266666667
Rock,2743284.1817999999,0.0000000156,0.0428638153,27,50,0.5400000000
ScreenType,1328.6169220600,0.0000113906,0.0151337771,155,375,0.4133333333
SemgHandGenderCh2,1249841.2943500001,0.0000140839,17.6026654273,565,600,0.9416666667
SemgHandMovementCh2,1240492.1576200000,0.0000113906,14.1299809829,369,450,0.8200000000
SemgHandSubjectCh2,1294582.1134500001,0.0000640000,82.8532552609,409,450,0.9088888889
ShapeletSim,958.7380872380,0.0012914680,1.2381795303,154,180,0.8555555556
ShapesAll,897.1498086740,0.0001911030,0.1714479984,499,600,0.8316666667
SmallKitchenAppliances,1431.8884346000,0.0001480359,0.2119708774,251,375,0.6693333333
SmoothSubspace,1.9823275124,0.0380686925,0.0754646166,143,150,0.9533333333
SonyAIBORobotSurface1,36.9538444150,0.1337071767,4.9409942054,439,601,0.7304492512
SonyAIBORobotSurface2,79.0355656369,0.5314410000,42.0027400376,819,953,0.8593913956
StarLightCurves,844.4307622720,0.0000001176,0.0000993464,7460,8236,0.9057795046
Strawberry,15.5437731639,0.0002441406,0.0037948665,349,370,0.9432432432
SwedishLeaf,70.3964546052,0.0018382656,0.1294073826,555,625,0.8880000000
Symbols,515.2199251260,0.0000857661,0.0441884144,965,995,0.9698492462
SyntheticControl,117.1411948510,0.0005948233,0.0696783145,299,300,0.9966666667
ToeSegmentation1,541.4613205120,0.0005383568,0.2914993906,186,228,0.8157894737
ToeSegmentation2,663.5158280680,0.0023712544,1.5733648085,120,130,0.9230769231
Trace,421.9837125550,0.0000023788,0.0010038033,100,100,1.0000000000
TwoLeadECG,24.0374709863,0.0001911030,0.0045936322,1039,1139,0.9122036874
TwoPatterns,256.7655110970,0.0001911030,0.0490686533,4000,4000,1.0000000000
UMD,109.4813942900,0.0003874205,0.0424153353,142,144,0.9861111111
UWaveGestureLibraryAll,1861.4078227000,0.0002176218,0.4050829218,3444,3582,0.9614740369
UWaveGestureLibraryX,608.3975325780,0.0003089158,0.1879435959,2794,3582,0.7800111669
UWaveGestureLibraryY,627.1060840900,0.0005948233,0.3730173236,2540,3582,0.7091010609
UWaveGestureLibraryZ,613.2823014360,0.0002176218,0.1334635987,2499,3582,0.6976549414
Wafer,261.9425979630,0.0072563139,1.9007377031,6149,6164,0.9975665152
Wine,0.3006398298,0.0130359388,0.0039191224,33,54,0.6111111111
WordSynonyms,491.3743975810,0.0009806228,0.4818529143,499,638,0.7821316614
Worms,1773.1410776500,0.0004818903,0.8544594929,43,77,0.5584415584
WormsTwoClass,1797.1981284100,0.0003089158,0.5551828545,51,77,0.6623376623
Yoga,638.7427186880,0.0001133799,0.0724205881,2598,3000,0.8660000000
