dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,618.3542522750,0.0001000000,0.0618354252,63,100,0.6300000000
Adiac,10.2867822628,0.0025000000,0.0257169557,249,391,0.6368286445
ArrowHead,60.1608950406,0.3025000000,18.1986707498,140,175,0.8000000000
Beef,298.8536457690,0.3600000000,107.5873124770,20,30,0.6666666667
BeetleFly,907.9338778760,0.0001000000,0.0907933878,15,20,0.7500000000
BirdChicken,687.9030928120,0.0000500000,0.0343951546,15,20,0.7500000000
BME,100.9062053700,0.0006500000,0.0655890335,149,150,0.9933333333
Car,133.5532444090,0.0012500000,0.1669415555,47,60,0.7833333333
CBF,175.2003379950,0.0009000000,0.1576803042,900,900,1.0000000000
Chinatown,1805231.1924999999,0.2550500000,460424.2156470000,324,343,0.9446064140
ChlorineConcentration,61.9692582783,0.5066000000,31.3936262438,2496,3840,0.6500000000
CinCECGTorso,3195.1154555800,0.0030500000,9.7451021395,1301,1380,0.9427536232
Coffee,4.9693660728,0.2601000000,1.2925321155,28,28,1.0000000000
Computers,1352.4272593800,0.0000000000,0.0000000000,175,250,0.7000000000
CricketX,602.4442021770,0.0009000000,0.5421997820,316,390,0.8102564103
CricketY,588.2691887790,0.0004000000,0.2353076755,307,390,0.7871794872
CricketZ,601.6625098100,0.0009000000,0.5414962588,307,390,0.7871794872
Crop,4.4775576787,0.0064000000,0.0286563691,12218,16800,0.7272619048
DiatomSizeReduction,12.6862461509,0.2401000000,3.0459677008,286,306,0.9346405229
DistalPhalanxOutlineAgeGroup,8.7438737470,0.0036000000,0.0314779455,98,139,0.7050359712
DistalPhalanxOutlineCorrect,11.0894593625,0.0097000000,0.1075677558,195,276,0.7065217391
DistalPhalanxTW,8.9391138570,0.0324000000,0.2896272890,90,139,0.6474820144
Earthquakes,1015.4801564200,0.0306500000,31.1244667943,101,139,0.7266187050
ECG200,69.1796099003,0.0036000000,0.2490465956,84,100,0.8400000000
ECG5000,130.1626924780,0.0064000000,0.8330412319,4182,4500,0.9293333333
ECGFiveDays,133.4299685430,0.0225000000,3.0021742922,794,861,0.9221835075
ElectricDevices,184.3987723100,0.0004000000,0.0737595089,4790,7711,0.6211905071
EOGHorizontalSignal,51976858.5182000026,0.0001000000,5197.6858518200,186,362,0.5138121547
EOGVerticalSignal,86619464.6797000021,0.0001000000,8661.9464679700,170,362,0.4696132597
EthanolLevel,62.9142910532,0.0001000000,0.0062914291,148,500,0.2960000000
FaceAll,221.2309868730,0.0025000000,0.5530774672,1360,1690,0.8047337278
FaceFour,463.0248342850,0.0036000000,1.6668894034,77,88,0.8750000000
FacesUCR,220.7867308550,0.0020500000,0.4526127983,1945,2050,0.9487804878
FiftyWords,487.1071051630,0.0009000000,0.4383963946,370,455,0.8131868132
Fish,62.4006769641,0.0016000000,0.0998410831,161,175,0.9200000000
FordA,1007.0527438800,0.0064000000,6.4451375608,932,1320,0.7060606061
FordB,1003.6513359500,0.0036000000,3.6131448094,531,810,0.6555555556
FreezerRegularTrain,144.8971336310,0.0002500000,0.0362242834,2650,2850,0.9298245614
FreezerSmallTrain,134.3292513210,0.2970500000,39.9025041050,1926,2850,0.6757894737
Fungi,28638.1600526000,0.2450500000,7017.7811208900,156,186,0.8387096774
GunPoint,69.1734475965,0.0009000000,0.0622561028,145,150,0.9666666667
GunPointAgeSpan,24726805.3451999985,0.0001000000,2472.6805345200,315,316,0.9968354430
GunPointMaleVersusFemale,24745092.7054999992,0.2550500000,6311235.8945399998,314,316,0.9936708861
GunPointOldVersusYoung,24131968.7338999994,0.2450500000,5913538.9382300004,315,315,1.0000000000
Ham,151.5819422070,0.0132500000,2.0084607342,62,105,0.5904761905
HandOutlines,373.2112161260,0.0001000000,0.0373211216,326,370,0.8810810811
Haptics,513.1279281650,0.0009000000,0.4618151353,138,308,0.4480519481
Herring,46.3893154707,0.0009000000,0.0417503839,41,64,0.6406250000
HouseTwenty,2693837552.0700001717,0.0001000000,269383.7552070000,106,119,0.8907563025
InlineSkate,2110.3802859500,0.0001000000,0.2110380286,233,550,0.4236363636
InsectEPGRegularTrain,1913.0332673700,0.2450500000,468.7888021680,249,249,1.0000000000
InsectEPGSmallTrain,2068.6099814400,0.2450500000,506.9128759530,249,249,1.0000000000
InsectWingbeatSound,435.1822156580,0.0009000000,0.3916639941,1101,1980,0.5560606061
ItalyPowerDemand,11.7870270879,0.6241000000,7.3562836055,983,1029,0.9552964043
LargeKitchenAppliances,1422.5687103700,0.0000000000,0.0000000000,298,375,0.7946666667
