dataset_name,sample,factor,penalty,correct,test_size,accuracy
Lightning2,865.1404678990,0.0009000000,0.7786264211,56,61,0.9180327869
Lightning7,435.7710883330,0.0016000000,0.6972337413,56,73,0.7671232877
Mallat,170.7427268930,0.2401000000,40.9953287270,2144,2345,0.9142857143
Meat,0.7079973019,0.2450500000,0.1734947388,56,60,0.9333333333
MedicalImages,91.7520541209,0.0004000000,0.0367008216,570,760,0.7500000000
MiddlePhalanxOutlineAgeGroup,3.9350912841,0.0029000000,0.0114117647,77,154,0.5000000000
MiddlePhalanxOutlineCorrect,4.0563398298,0.1089000000,0.4417354075,223,291,0.7663230241
MiddlePhalanxTW,3.9357649882,0.0009000000,0.0035421885,79,154,0.5129870130
MixedShapesRegularTrain,1532.0468882600,0.0004000000,0.6128187553,2229,2425,0.9191752577
MixedShapesSmallTrain,1497.3787186800,0.0004000000,0.5989514875,2075,2425,0.8556701031
MoteStrain,92.1451543388,0.1089000000,10.0346073075,1098,1252,0.8769968051
NonInvasiveFetalECGThorax1,109.9676334510,0.0064000000,0.7037928541,1634,1965,0.8315521628
NonInvasiveFetalECGThorax2,131.3993789570,0.0016000000,0.2102390063,1750,1965,0.8905852417
OliveOil,0.1230356265,0.2450500000,0.0301498803,26,30,0.8666666667
OSULeaf,755.2265004880,0.0006500000,0.4908972253,170,242,0.7024793388
PhalangesOutlinesCorrect,6.7893698390,0.5625000000,3.8190205345,653,858,0.7610722611
Phoneme,2038.1419041000,0.0004000000,0.8152567616,469,1896,0.2473628692
PigAirwayPressure,49808.2213203000,0.0001000000,4.9808221320,39,208,0.1875000000
PigArtPressure,760228.5384010000,0.0001000000,76.0228538401,138,208,0.6634615385
PigCVP,24387.9892991000,0.0001000000,2.4387989299,89,208,0.4278846154
Plane,88.4296662636,0.0006500000,0.0574792831,105,105,1.0000000000
PowerCons,276.3351096000,0.0210500000,5.8168540571,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8192794066,0.0257000000,0.0724554808,162,205,0.7902439024
ProximalPhalanxOutlineCorrect,2.8462187846,0.0100000000,0.0284621878,234,291,0.8041237113
ProximalPhalanxTW,2.8567670405,0.0009000000,0.0025710903,153,205,0.7463414634
RefrigerationDevices,1432.6779948800,0.0009000000,1.2894101954,164,375,0.4373333333
Rock,2786337.4872800000,0.0000000000,0.0000000000,27,50,0.5400000000
ScreenType,1303.7820279800,0.0001000000,0.1303782028,154,375,0.4106666667
SemgHandGenderCh2,1206753.9343500000,0.0001000000,120.6753934350,564,600,0.9400000000
SemgHandMovementCh2,1249405.8765000000,0.0001000000,124.9405876500,359,450,0.7977777778
SemgHandSubjectCh2,1237033.7794700000,0.0001000000,123.7033779470,407,450,0.9044444444
ShapeletSim,952.8965681210,0.0016000000,1.5246345090,155,180,0.8611111111
ShapesAll,896.1645667110,0.0001000000,0.0896164567,497,600,0.8283333333
SmallKitchenAppliances,1430.0131323000,0.0001000000,0.1430013132,250,375,0.6666666667
SmoothSubspace,1.9540835570,0.0361000000,0.0705424164,143,150,0.9533333333
SonyAIBORobotSurface1,37.0076372568,0.3136000000,11.6055950437,418,601,0.6955074875
SonyAIBORobotSurface2,79.3134251653,0.2450500000,19.4357548368,821,953,0.8614900315
StarLightCurves,868.2457242330,0.0000000000,0.0000000000,7467,8236,0.9066294318
Strawberry,15.2365863056,0.0004000000,0.0060946345,350,370,0.9459459459
SwedishLeaf,69.9225312213,0.0020500000,0.1433411890,559,625,0.8944000000
Symbols,511.9652675360,0.0001000000,0.0511965268,965,995,0.9698492462
SyntheticControl,115.9533109800,0.0090500000,1.0493774644,296,300,0.9866666667
ToeSegmentation1,538.3300199630,0.0012500000,0.6729125250,187,228,0.8201754386
ToeSegmentation2,671.9475234040,0.0025000000,1.6798688085,120,130,0.9230769231
Trace,420.2668794930,0.0000500000,0.0210133440,100,100,1.0000000000
TwoLeadECG,23.9737078497,0.0030500000,0.0731198089,1018,1139,0.8937664618
TwoPatterns,253.5802072210,0.0030500000,0.7734196320,4000,4000,1.0000000000
UMD,108.6046482650,0.0004000000,0.0434418593,142,144,0.9861111111
UWaveGestureLibraryAll,1821.7329959200,0.0009000000,1.6395596963,3443,3582,0.9611948632
UWaveGestureLibraryX,611.2909130480,0.0006500000,0.3973390935,2809,3582,0.7841987716
UWaveGestureLibraryY,615.4954120280,0.0009000000,0.5539458708,2527,3582,0.7054718035
UWaveGestureLibraryZ,623.7709264990,0.0006500000,0.4054511022,2478,3582,0.6917922948
Wafer,261.6659472240,0.0081000000,2.1194941725,6148,6164,0.9974042829
Wine,0.3054513404,0.2450500000,0.0748508510,33,54,0.6111111111
WordSynonyms,488.3731563860,0.0009000000,0.4395358407,501,638,0.7852664577
Worms,1799.8473640300,0.0004000000,0.7199389456,43,77,0.5584415584
WormsTwoClass,1805.6531970000,0.0010000000,1.8056531970,52,77,0.6753246753
Yoga,645.4860430830,0.0001000000,0.0645486043,2596,3000,0.8653333333
