dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,624.4551473660,0.0000241146,0.0150585020,64,100,0.6400000000
Adiac,10.3873931601,0.0019285999,0.0200331259,249,391,0.6368286445
ArrowHead,61.8153472926,0.1144754185,7.0763377507,141,175,0.8057142857
Beef,313.8038653200,0.1749012288,54.8846816360,20,30,0.6666666667
BeetleFly,913.2039630190,0.0000007939,0.0007249507,14,20,0.7000000000
BirdChicken,688.3163019670,0.0000097276,0.0066956939,15,20,0.7500000000
BME,105.6578915920,0.0003823569,0.0403990220,149,150,0.9933333333
Car,132.5362226550,0.0010834934,0.1436021184,47,60,0.7833333333
CBF,171.6473614230,0.0000042071,0.0007221329,897,900,0.9966666667
Chinatown,1775233.7940000000,0.0783122815,139022.6086380000,325,343,0.9475218659
ChlorineConcentration,59.8775043171,0.0171470712,1.0267238328,2496,3840,0.6500000000
CinCECGTorso,3249.6922306000,0.0027830033,9.0439040590,1300,1380,0.9420289855
Coffee,4.9767727755,0.0429762583,0.2138830723,28,28,1.0000000000
Computers,1377.8002787000,0.0000042071,0.0057965054,174,250,0.6960000000
CricketX,601.8950068150,0.0007979227,0.4802656667,315,390,0.8076923077
CricketY,594.6566916020,0.0004242075,0.2522578135,306,390,0.7846153846
CricketZ,602.0459912710,0.0008129066,0.4894071361,308,390,0.7897435897
Crop,4.3723104853,0.0060466176,0.0264376895,12213,16800,0.7269642857
DiatomSizeReduction,12.7435448647,0.0008872426,0.0113066156,295,306,0.9640522876
DistalPhalanxOutlineAgeGroup,8.6542762848,0.0036203333,0.0313313647,99,139,0.7122302158
DistalPhalanxOutlineCorrect,10.7246170357,0.0030330549,0.0325283522,203,276,0.7355072464
DistalPhalanxTW,8.9336320195,0.0325524355,0.2908114802,90,139,0.6474820144
Earthquakes,1019.9341771800,0.0282475249,28.8106160662,101,139,0.7266187050
ECG200,68.2801618232,0.0039641877,0.2706753771,84,100,0.8400000000
ECG5000,130.9751508900,0.0065900234,0.8631293037,4181,4500,0.9291111111
ECGFiveDays,134.9844771300,0.0211392282,2.8534676657,796,861,0.9245063879
ElectricDevices,184.3535476250,0.0007979227,0.1470998736,4844,7711,0.6281934898
EOGHorizontalSignal,55063667.3220999986,0.0001708020,9404.9834716800,182,362,0.5027624309
EOGVerticalSignal,93163619.9627999961,0.0000320735,2988.0860636300,172,362,0.4751381215
EthanolLevel,63.7361659224,0.0000814041,0.0051883827,145,500,0.2900000000
FaceAll,224.2763825510,0.0017488747,0.3922312921,1361,1690,0.8053254438
FaceFour,458.1259403870,0.0023206384,1.0631446525,79,88,0.8977272727
FacesUCR,220.2782972440,0.0023206384,0.5111862768,1945,2050,0.9487804878
FiftyWords,490.3060212330,0.0007979227,0.3912262861,368,455,0.8087912088
Fish,62.0742676051,0.0017488747,0.1085601164,161,175,0.9200000000
FordA,999.7005060270,0.0060466176,6.0448066745,928,1320,0.7030303030
FordB,1001.7595289800,0.0036203333,3.6267033960,530,810,0.6543209877
FreezerRegularTrain,144.6006051030,0.0002719736,0.0393275485,2649,2850,0.9294736842
FreezerSmallTrain,139.0238389020,0.1215766546,16.9020532420,1926,2850,0.6757894737
Fungi,28682.3503311000,0.0008872426,25.4482025509,184,186,0.9892473118
GunPoint,69.8949469960,0.0007979227,0.0557707622,145,150,0.9666666667
GunPointAgeSpan,24247107.6270000003,0.0001048576,2542.4935127100,315,316,0.9968354430
GunPointMaleVersusFemale,24666228.5485000014,0.0106892590,263663.7050750000,314,316,0.9936708861
GunPointOldVersusYoung,24018852.7930999994,0.0008872426,21310.5489565000,315,315,1.0000000000
Ham,149.9294622170,0.0145730561,2.1849304605,62,105,0.5904761905
HandOutlines,396.8073336740,0.0000365616,0.0145079048,327,370,0.8837837838
Haptics,505.1262919390,0.0006492506,0.3279535588,135,308,0.4383116883
Herring,46.1509512783,0.0006492506,0.0299635338,37,64,0.5781250000
HouseTwenty,2656450028.2699999809,0.0000627821,166777.5604110000,106,119,0.8907563025
InlineSkate,2121.5044921200,0.0000206438,0.0437958668,239,550,0.4345454545
InsectEPGRegularTrain,2008.0683943800,0.0008872426,1.7816437860,249,249,1.0000000000
InsectEPGSmallTrain,2074.4824624100,0.0008872426,1.8405691752,249,249,1.0000000000
InsectWingbeatSound,432.7362606460,0.0007979227,0.3452900695,1094,1980,0.5525252525
ItalyPowerDemand,11.4286935554,0.0007979227,0.0091192136,981,1029,0.9533527697
LargeKitchenAppliances,1419.5325385000,0.0000000002,0.0000002551,298,375,0.7946666667
Lightning2,882.7417469910,0.0008872426,0.7832060664,56,61,0.9180327869
Lightning7,438.2622674480,0.0014455511,0.6335304850,56,73,0.7671232877
Mallat,169.1414900090,0.0402076604,6.8007835833,2144,2345,0.9142857143
Meat,0.6917993128,0.0008872426,0.0006137938,56,60,0.9333333333
MedicalImages,93.9980827945,0.0004242075,0.0398746893,571,760,0.7513157895
MiddlePhalanxOutlineAgeGroup,3.9177737685,0.0030438650,0.0119251745,77,154,0.5000000000
MiddlePhalanxOutlineCorrect,4.0449040945,0.0953659704,0.3857462040,223,291,0.7663230241
MiddlePhalanxTW,4.0266529398,0.0021083252,0.0084894938,75,154,0.4870129870
MixedShapesRegularTrain,1528.6946196100,0.0006492506,0.9925059312,2226,2425,0.9179381443
MixedShapesSmallTrain,1478.6206128300,0.0003405063,0.5034796179,2057,2425,0.8482474227
MoteStrain,90.6955563492,0.0492399040,4.4658404855,1079,1252,0.8618210863
NonInvasiveFetalECGThorax1,108.1289593350,0.0060466176,0.6538144686,1635,1965,0.8320610687
NonInvasiveFetalECGThorax2,135.5632880430,0.0014455511,0.1959636547,1750,1965,0.8905852417
OliveOil,0.1190769897,0.0228005844,0.0027150250,26,30,0.8666666667
OSULeaf,752.6892334150,0.0005692145,0.4284416076,168,242,0.6942148760
PhalangesOutlinesCorrect,6.3238386369,0.3486784401,2.2049861914,653,858,0.7610722611
Phoneme,2030.2729813600,0.0002719736,0.5521806708,478,1896,0.2521097046
PigAirwayPressure,48571.4471132000,0.0000931308,4.5234992046,39,208,0.1875000000
PigArtPressure,777317.6082059999,0.0000554340,43.0898096036,129,208,0.6201923077
PigCVP,23036.2430112000,0.0000179798,0.4141866665,91,208,0.4375000000
Plane,84.1985293899,0.0000025104,0.0002113753,105,105,1.0000000000
PowerCons,280.7876026500,0.0131251979,3.6853928435,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.7965276170,0.0263547328,0.0737017380,162,205,0.7902439024
ProximalPhalanxOutlineCorrect,2.8664402012,0.0091211483,0.0261452261,233,291,0.8006872852
ProximalPhalanxTW,2.9256884142,0.0007979227,0.0023344731,153,205,0.7463414634
RefrigerationDevices,1432.2021892500,0.0011904242,1.7049282002,160,375,0.4266666667
Rock,2706984.3189200000,0.0000000004,0.0011891077,27,50,0.5400000000
ScreenType,1319.5514216700,0.0000112590,0.0148568282,154,375,0.4106666667
SemgHandGenderCh2,1217965.3019000001,0.0000153158,18.6541006117,565,600,0.9416666667
SemgHandMovementCh2,1215740.1203000001,0.0000153158,18.6200201979,367,450,0.8155555556
SemgHandSubjectCh2,1209407.6385999999,0.0000814041,98.4506930077,405,450,0.9000000000
ShapeletSim,963.7420312820,0.0017488747,1.6854640594,153,180,0.8500000000
ShapesAll,896.8786220860,0.0002161148,0.1938287648,500,600,0.8333333333
SmallKitchenAppliances,1430.3929260100,0.0001048576,0.1499875693,248,375,0.6613333333
SmoothSubspace,1.9369069029,0.0374390624,0.0725159785,143,150,0.9533333333
SonyAIBORobotSurface1,37.1955712148,0.0642888893,2.3912619612,449,601,0.7470881864
SonyAIBORobotSurface2,78.0621192364,0.0008872426,0.0692600362,798,953,0.8373557188
StarLightCurves,866.8479918400,0.0000001024,0.0000887652,7460,8236,0.9057795046
Strawberry,16.4503258028,0.0002719736,0.0044740545,349,370,0.9432432432
SwedishLeaf,69.7614159526,0.0017488747,0.1220039757,553,625,0.8848000000
Symbols,524.1296455330,0.0000814041,0.0426662816,966,995,0.9708542714
SyntheticControl,117.6731215860,0.0008872426,0.1044046042,299,300,0.9966666667
ToeSegmentation1,544.0860482330,0.0005876210,0.3197163724,186,228,0.8157894737
ToeSegmentation2,669.5693007650,0.0023206384,1.5538282354,120,130,0.9230769231
Trace,420.8602239470,0.0000001668,0.0000701990,100,100,1.0000000000
TwoLeadECG,23.5819347864,0.0000112590,0.0002655090,1030,1139,0.9043020193
TwoPatterns,252.6034511130,0.0000112590,0.0028440620,4000,4000,1.0000000000
UMD,110.8190474120,0.0003405063,0.0377345826,142,144,0.9861111111
UWaveGestureLibraryAll,1845.2302765300,0.0004606121,0.8499354208,3455,3582,0.9645449470
UWaveGestureLibraryX,600.6841828830,0.0005259913,0.3159546677,2820,3582,0.7872696817
UWaveGestureLibraryY,620.6133031240,0.0006492506,0.4029335725,2542,3582,0.7096594082
UWaveGestureLibraryZ,614.3351738780,0.0001708020,0.1049296648,2493,3582,0.6959798995
Wafer,260.3272102390,0.0060466176,1.5740990912,6149,6164,0.9975665152
Wine,0.2835259139,0.0007235866,0.0002051556,31,54,0.5740740741
WordSynonyms,490.6942340910,0.0009765625,0.4791935880,499,638,0.7821316614
Worms,1767.1594774700,0.0004242075,0.7496422596,43,77,0.5584415584
WormsTwoClass,1782.9791439700,0.0002161148,0.3853282223,54,77,0.7012987013
Yoga,635.0930032590,0.0001048576,0.0665943281,2599,3000,0.8663333333
