dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,580.9153142870,0.0000294959,0.0171346297,64,100,0.6400000000
Adiac,10.3682320378,0.0019475427,0.0201925750,249,391,0.6368286445
ArrowHead,61.2700480192,0.1215128027,7.4450952582,141,175,0.8057142857
Beef,313.5475665360,0.0575793615,18.0538686910,20,30,0.6666666667
BeetleFly,920.3235125230,0.0000061222,0.0056344049,15,20,0.7500000000
BirdChicken,686.6993800380,0.0000108694,0.0074639819,15,20,0.7500000000
BME,104.9359497870,0.0004261844,0.0447220679,149,150,0.9933333333
Car,134.6288638340,0.0008664802,0.1166532457,49,60,0.8166666667
CBF,171.3458168500,0.0000340483,0.0058340260,897,900,0.9966666667
Chinatown,1772538.1305000000,0.1053900576,186807.8957020000,324,343,0.9446064140
ChlorineConcentration,59.3790200636,0.1464519457,8.6961730231,2496,3840,0.6500000000
CinCECGTorso,3210.5408880400,0.0029554821,9.4886961383,1302,1380,0.9434782609
Coffee,4.8862091310,0.0575793615,0.2813448021,28,28,1.0000000000
Computers,1362.6050100100,0.0000249436,0.0339882455,160,250,0.6400000000
CricketX,601.3028231340,0.0007836416,0.4712059310,315,390,0.8076923077
CricketY,587.2449084390,0.0004261844,0.2502746364,306,390,0.7846153846
CricketZ,599.4139533860,0.0009493188,0.5690349177,307,390,0.7871794872
Crop,4.4968036564,0.0068415917,0.0307652946,12217,16800,0.7272023810
DiatomSizeReduction,12.8517585300,0.0072973654,0.0937839776,294,306,0.9607843137
DistalPhalanxOutlineAgeGroup,8.7662501263,0.0043581766,0.0382048659,99,139,0.7122302158
DistalPhalanxOutlineCorrect,10.6239994171,0.0031927781,0.0339200726,203,276,0.7355072464
DistalPhalanxTW,9.1137855011,0.0314274284,0.2864228409,90,139,0.6474820144
Earthquakes,1015.9976039600,0.0267536350,27.1816290753,98,139,0.7050359712
ECG200,67.1627998947,0.0040474356,0.2718371040,84,100,0.8400000000
ECG5000,127.4370421700,0.0063264571,0.8062249771,4184,4500,0.9297777778
ECGFiveDays,135.9298622990,0.0220798417,3.0013098385,794,861,0.9221835075
ElectricDevices,185.1767066620,0.0007135173,0.1321267847,4841,7711,0.6278044352
EOGHorizontalSignal,53140336.0161999986,0.0001724988,9166.6422329800,183,362,0.5055248619
EOGVerticalSignal,95077731.7327000052,0.0000752341,7153.0897765800,172,362,0.4751381215
EthanolLevel,62.4756380982,0.0000924608,0.0057765485,146,500,0.2920000000
FaceAll,223.1478896630,0.0021264680,0.4745168546,1362,1690,0.8059171598
FaceFour,463.3519205930,0.0025117897,1.1638425917,78,88,0.8863636364
FacesUCR,220.9234222010,0.0023053933,0.5093153845,1945,2050,0.9487804878
FiftyWords,487.1408260110,0.0007135173,0.3475834093,368,455,0.8087912088
Fish,61.4587836232,0.0016384000,0.1006940711,161,175,0.9200000000
FordA,991.2633286980,0.0050662312,5.0219692078,944,1320,0.7151515152
FordB,1000.0179421300,0.0027181861,2.7182348811,532,810,0.6567901235
FreezerRegularTrain,150.1163312550,0.0002751261,0.0413009269,2649,2850,0.9294736842
FreezerSmallTrain,135.1439103910,0.1399679162,18.9158115270,1926,2850,0.6757894737
Fungi,28193.3733824000,0.0072973654,205.7373464220,169,186,0.9086021505
GunPoint,68.5289204649,0.0011441558,0.0784077636,146,150,0.9733333333
GunPointAgeSpan,26079435.7351999991,0.0001046035,2728.0010912500,315,316,0.9968354430
GunPointMaleVersusFemale,25745660.1359999999,0.0195489749,503301.2646050000,314,316,0.9936708861
GunPointOldVersusYoung,24593922.6594999991,0.0072973654,179470.8393860000,315,315,1.0000000000
Ham,150.6932036380,0.0152243523,2.2942064280,62,105,0.5904761905
HandOutlines,388.2900629360,0.0000534499,0.0207540787,327,370,0.8837837838
Haptics,517.0590576180,0.0006433930,0.3326721621,135,308,0.4383116883
Herring,46.4424604430,0.0006433930,0.0298807525,38,64,0.5937500000
HouseTwenty,2654100964.5599999428,0.0000706766,187582.9092140000,106,119,0.8907563025
InlineSkate,2085.1952507200,0.0000249436,0.0520122322,244,550,0.4436363636
InsectEPGRegularTrain,1892.9355555100,0.0072973654,13.8134423595,249,249,1.0000000000
InsectEPGSmallTrain,2031.0059773500,0.0072973654,14.8209926737,249,249,1.0000000000
InsectWingbeatSound,438.4765843240,0.0007836416,0.3436085101,1091,1980,0.5510101010
ItalyPowerDemand,11.2511923060,0.5578466012,6.2764393877,983,1029,0.9552964043
LargeKitchenAppliances,1417.9920504100,0.0000610352,0.0865473664,295,375,0.7866666667
Lightning2,872.1840094600,0.0008664802,0.7557301803,56,61,0.9180327869
Lightning7,435.9290841400,0.0013723101,0.5982298706,56,73,0.7671232877
Mallat,168.5684448550,0.0545516070,9.1956795581,2144,2345,0.9142857143
Meat,0.7277341344,0.0067822307,0.0049356608,56,60,0.9333333333
MedicalImages,97.9814559711,0.0004261844,0.0417581709,571,760,0.7513157895
MiddlePhalanxOutlineAgeGroup,3.8951273181,0.0019475427,0.0075859269,78,154,0.5064935065
MiddlePhalanxOutlineCorrect,3.9224498084,0.1053900576,0.4133872113,223,291,0.7663230241
MiddlePhalanxTW,4.0765631492,0.0019475427,0.0079392810,75,154,0.4870129870
MixedShapesRegularTrain,1547.3605839200,0.0006433930,0.9955609198,2225,2425,0.9175257732
MixedShapesSmallTrain,1454.3056866700,0.0003435974,0.4996956290,2057,2425,0.8482474227
MoteStrain,89.6415387534,0.0575793615,5.1615025682,1083,1252,0.8650159744
NonInvasiveFetalECGThorax1,110.7827293650,0.0058706834,0.6503703328,1634,1965,0.8315521628
NonInvasiveFetalECGThorax2,129.1509838000,0.0017929714,0.2315640163,1749,1965,0.8900763359
OliveOil,0.1294644221,0.0352161461,0.0045592380,26,30,0.8666666667
OSULeaf,753.7033720360,0.0005636195,0.4248019270,168,242,0.6942148760
PhalangesOutlinesCorrect,6.6290312671,0.0264400574,0.1752719674,652,858,0.7599067599
Phoneme,2032.2512149900,0.0002751261,0.5591254345,479,1896,0.2526371308
PigAirwayPressure,50352.8115872000,0.0000924608,4.6556620923,39,208,0.1875000000
PigArtPressure,791721.4972980000,0.0000534499,42.3174627626,127,208,0.6105769231
PigCVP,23773.7736541000,0.0000180109,0.4281867130,92,208,0.4423076923
Plane,91.7835730332,0.0000180109,0.0016531034,105,105,1.0000000000
PowerCons,272.0751550000,0.0208144083,5.6630833655,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.8167209178,0.0234831783,0.0661455594,163,205,0.7951219512
ProximalPhalanxOutlineCorrect,2.9997862060,0.0089741068,0.0269204017,233,291,0.8006872852
ProximalPhalanxTW,2.8985829566,0.0009638987,0.0027939404,153,205,0.7463414634
RefrigerationDevices,1431.2689810700,0.0011441558,1.6375947431,159,375,0.4240000000
Rock,2758230.3799299998,0.0000000028,0.0077212798,27,50,0.5400000000
ScreenType,1313.5151684700,0.0000128000,0.0168129942,156,375,0.4160000000
SemgHandGenderCh2,1277638.2886999999,0.0000089387,11.4204475894,563,600,0.9383333333
SemgHandMovementCh2,1182061.0740199999,0.0000128000,15.1303817475,370,450,0.8222222222
SemgHandSubjectCh2,1286189.6991500000,0.0000610352,78.5027892548,410,450,0.9111111111
ShapeletSim,944.7663202520,0.0012582329,1.1887361108,154,180,0.8555555556
ShapesAll,897.9971005590,0.0002187000,0.1963919659,500,600,0.8333333333
SmallKitchenAppliances,1431.6229524500,0.0000828193,0.1185660740,251,375,0.6693333333
SmoothSubspace,1.9362134583,0.0393898064,0.0762670733,143,150,0.9533333333
SonyAIBORobotSurface1,36.8578234672,0.1215128027,4.4786974320,441,601,0.7337770383
SonyAIBORobotSurface2,79.8112533767,0.0072973654,0.5824118761,811,953,0.8509968520
StarLightCurves,855.1091907700,0.0000000000,0.0000000099,7467,8236,0.9066294318
Strawberry,15.9068661312,0.0002469131,0.0039276132,349,370,0.9432432432
SwedishLeaf,71.3602079790,0.0016599264,0.1184526933,553,625,0.8848000000
Symbols,503.3745448950,0.0000924608,0.0465424216,965,995,0.9698492462
SyntheticControl,117.3306180580,0.0010467373,0.1228143342,298,300,0.9933333333
ToeSegmentation1,539.0044371730,0.0005843132,0.3149474264,186,228,0.8157894737
ToeSegmentation2,669.7147646620,0.0023053933,1.5439559531,120,130,0.9230769231
Trace,424.3131256810,0.0000013814,0.0005861310,100,100,1.0000000000
TwoLeadECG,23.7724874196,0.0000924608,0.0021980236,1033,1139,0.9069359087
TwoPatterns,254.2215805660,0.0000924608,0.0235055350,4000,4000,1.0000000000
UMD,113.9493548350,0.0003435974,0.0391527002,142,144,0.9861111111
UWaveGestureLibraryAll,1823.6773910600,0.0009493188,1.7312511802,3441,3582,0.9606365159
UWaveGestureLibraryX,605.3498065430,0.0002751261,0.1665475563,2797,3582,0.7808486879
UWaveGestureLibraryY,613.9885349890,0.0006433930,0.3950359063,2540,3582,0.7091010609
UWaveGestureLibraryZ,607.6061993030,0.0001724988,0.1048113178,2492,3582,0.6957007259
Wafer,257.3402081330,0.0078125000,2.0104703760,6148,6164,0.9974042829
Wine,0.2836829550,0.0067822307,0.0019240033,33,54,0.6111111111
WordSynonyms,484.1669567290,0.0009493188,0.4596287805,501,638,0.7852664577
Worms,1788.4007183900,0.0004261844,0.7621885404,44,77,0.5714285714
WormsTwoClass,1772.3922775900,0.0002187000,0.3876221911,54,77,0.7012987013
Yoga,637.2839136520,0.0001046035,0.0666621483,2599,3000,0.8663333333
